AREA,AGE_ADJUSTED_RATE,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_RATE
New Hampshire,7.9,Incidence,683488,All Races,Female,Oral Cavity and Pharynx,2018,11.3
New Hampshire,7.1,Incidence,686814,All Races,Female,Oral Cavity and Pharynx,2019,10.5
New Hampshire,5.8,Incidence,689281,All Races,Female,Oral Cavity and Pharynx,2020,8.7
New Jersey,6.6,Incidence,4527643,All Races,Female,Oral Cavity and Pharynx,2011,7.9
New Jersey,6.1,Incidence,4534588,All Races,Female,Oral Cavity and Pharynx,2012,7.5
New Jersey,6.5,Incidence,4538378,All Races,Female,Oral Cavity and Pharynx,2013,8.2
New Jersey,5.8,Incidence,4541269,All Races,Female,Oral Cavity and Pharynx,2014,7.4
New Jersey,6.6,Incidence,4542433,All Races,Female,Oral Cavity and Pharynx,2015,8.5
New Jersey,5.7,Incidence,4541709,All Races,Female,Oral Cavity and Pharynx,2016,7.4
New Jersey,7.1,Incidence,4547537,All Races,Female,Oral Cavity and Pharynx,2017,9.1
New Jersey,6.8,Incidence,4547534,All Races,Female,Oral Cavity and Pharynx,2018,9
New Jersey,6.3,Incidence,4545698,All Races,Female,Oral Cavity and Pharynx,2019,8.3
New Jersey,6.6,Incidence,4539322,All Races,Female,Oral Cavity and Pharynx,2020,8.8
Mississippi,0,Incidence,35256,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
Mississippi,0,Incidence,35818,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Mississippi,0,Incidence,37033,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
Mississippi,0,Incidence,38406,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
Mississippi,0,Incidence,39674,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,0
Mississippi,6.3,Incidence,40799,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,4.9
Mississippi,3.8,Incidence,42106,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,4.7
Mississippi,2.4,Incidence,43212,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,2.3
Mississippi,3.2,Incidence,44101,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,2.3
Mississippi,0,Incidence,44894,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Missouri,0,Incidence,105271,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
Missouri,1.3,Incidence,108061,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0.9
Missouri,2.8,Incidence,110751,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,2.7
Missouri,4.3,Incidence,113789,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,2.6
Missouri,2.5,Incidence,116827,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,1.7
Missouri,1.3,Incidence,120127,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0.8
Missouri,4,Incidence,123650,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,1.6
Missouri,5.6,Incidence,127266,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,3.1
Missouri,3.1,Incidence,130727,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,2.3
Missouri,3.6,Incidence,133900,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,2.2
Montana,0,Incidence,14992,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,0
Montana,0,Incidence,15840,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
Montana,0,Incidence,16539,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
Montana,0,Incidence,17320,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
Montana,7.8,Incidence,18105,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,5.5
Montana,0,Incidence,18817,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
Montana,6.3,Incidence,19864,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,5
Montana,7.2,Incidence,20619,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,4.8
Montana,6.3,Incidence,21250,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,4.7
Montana,0,Incidence,22036,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Nebraska,5.1,Incidence,82779,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,1.2
Nebraska,6.7,Incidence,85535,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,2.3
Nebraska,3.2,Incidence,88669,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,2.3
Nebraska,5.9,Incidence,91005,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,2.2
Nebraska,5,Incidence,93757,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,2.1
Nebraska,0,Incidence,96953,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,0
Nebraska,4.7,Incidence,100391,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,3
Nebraska,2.8,Incidence,103375,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,1.9
Nebraska,3.7,Incidence,106006,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,0.9
Nebraska,13.1,Incidence,108311,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,6.5
Nevada,4,Incidence,357200,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,2
Nevada,1.2,Incidence,365053,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0.5
Nevada,2.2,Incidence,374211,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,1.9
Nevada,4.3,Incidence,383920,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,2.1
Nevada,4.2,Incidence,396172,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,2.3
Nevada,1.3,Incidence,407614,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,1
Nevada,3.7,Incidence,419027,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,2.6
Nevada,2.8,Incidence,431678,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,1.9
Nevada,3.9,Incidence,444932,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,2.5
New Hampshire,14.1,Incidence,19207,Hispanic of any race,Female,Oral Cavity and Pharynx,2011,10.4
New Hampshire,0,Incidence,19973,Hispanic of any race,Female,Oral Cavity and Pharynx,2012,0
New Hampshire,0,Incidence,20645,Hispanic of any race,Female,Oral Cavity and Pharynx,2013,0
New Hampshire,0,Incidence,21456,Hispanic of any race,Female,Oral Cavity and Pharynx,2014,0
New Hampshire,6.2,Incidence,22388,Hispanic of any race,Female,Oral Cavity and Pharynx,2015,4.5
New Hampshire,5.7,Incidence,23450,Hispanic of any race,Female,Oral Cavity and Pharynx,2016,4.3
New Hampshire,5.3,Incidence,24571,Hispanic of any race,Female,Oral Cavity and Pharynx,2017,4.1
New Hampshire,0,Incidence,25494,Hispanic of any race,Female,Oral Cavity and Pharynx,2018,0
New Hampshire,6.4,Incidence,26525,Hispanic of any race,Female,Oral Cavity and Pharynx,2019,3.8
New Hampshire,0,Incidence,27608,Hispanic of any race,Female,Oral Cavity and Pharynx,2020,0
Minnesota,17.4,Incidence,32675,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,6.1
Minnesota,21.5,Incidence,32904,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,15.2
Minnesota,0,Incidence,33402,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Minnesota,11.8,Incidence,33557,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,8.9
Minnesota,19.7,Incidence,33722,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,8.9
Minnesota,14.1,Incidence,33932,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,11.8
Minnesota,12.6,Incidence,34141,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,11.7
Minnesota,6,Incidence,34356,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,5.8
Minnesota,22.5,Incidence,34491,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,23.2
Minnesota,18.2,Incidence,34652,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,14.4
Mississippi,0,Incidence,7547,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
Mississippi,0,Incidence,7714,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Mississippi,25,Incidence,7718,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,13
Mississippi,0,Incidence,7793,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Mississippi,10.9,Incidence,7810,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,12.8
Mississippi,0,Incidence,7815,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
Mississippi,0,Incidence,7856,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
Mississippi,0,Incidence,7923,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Mississippi,0,Incidence,7985,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Mississippi,0,Incidence,8028,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Missouri,0,Incidence,15675,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
Missouri,4.7,Incidence,15808,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,6.3
Missouri,0,Incidence,15837,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Missouri,4.8,Incidence,16021,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,6.2
Missouri,7.2,Incidence,16274,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,12.3
Missouri,3.7,Incidence,16426,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,6.1
Missouri,9.4,Incidence,16551,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,12.1
Missouri,3.2,Incidence,16780,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,6
Missouri,0,Incidence,16994,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Missouri,9.6,Incidence,17115,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,11.7
Montana,22.9,Incidence,33216,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,18.1
Montana,8.9,Incidence,33554,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,6
Montana,9.5,Incidence,33998,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,5.9
Montana,10.8,Incidence,34307,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,8.7
Montana,5.5,Incidence,34504,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,2.9
Montana,13.2,Incidence,34816,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,11.5
Montana,9.6,Incidence,35261,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,5.7
Montana,12.8,Incidence,35411,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,8.5
Montana,0,Incidence,35542,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
Montana,0,Incidence,35780,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Nebraska,28.4,Incidence,8457,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,11.8
Nebraska,0,Incidence,8439,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
Nebraska,0,Incidence,8465,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
Nebraska,0,Incidence,8654,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Nebraska,0,Incidence,8738,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
Nebraska,10,Incidence,8851,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,11.3
Nebraska,0,Incidence,8955,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
Nebraska,0,Incidence,9021,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
Nebraska,8.9,Incidence,9048,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,11.1
Nebraska,0,Incidence,9147,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Nevada,5.2,Incidence,14047,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,7.1
Nevada,12.1,Incidence,14222,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,14.1
Nevada,5.6,Incidence,14324,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,7
Nevada,0,Incidence,14588,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
Nevada,0,Incidence,14746,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
Nevada,6.1,Incidence,14941,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,6.7
Nevada,4.1,Incidence,15253,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,6.6
Nevada,10.6,Incidence,15512,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,12.9
Nevada,7,Incidence,15699,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,6.4
New Hampshire,0,Incidence,1783,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2011,0
New Hampshire,0,Incidence,1762,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2012,0
New Hampshire,0,Incidence,1771,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2013,0
New Hampshire,0,Incidence,1783,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2014,0
New Hampshire,0,Incidence,1787,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2015,0
New Hampshire,0,Incidence,1806,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2016,0
New Hampshire,0,Incidence,1800,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2017,0
New Hampshire,0,Incidence,1824,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2018,0
New Hampshire,0,Incidence,1824,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2019,0
New Hampshire,0,Incidence,1865,Non-Hispanic American Indian/Alaska Native,Female,Oral Cavity and Pharynx,2020,0
Minnesota,8.1,Incidence,123023,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,4.1
Minnesota,5.8,Incidence,127492,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,4.7
Minnesota,5.9,Incidence,131919,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,4.5
Minnesota,12,Incidence,136948,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,5.8
Minnesota,2.5,Incidence,141503,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,2.1
Minnesota,6.5,Incidence,146572,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,4.1
Minnesota,4,Incidence,151002,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,3.3
Minnesota,6,Incidence,154927,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,4.5
Minnesota,4.4,Incidence,158426,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,3.2
Minnesota,6.2,Incidence,161114,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2020,5
Mississippi,6.1,Incidence,15840,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,6.3
Mississippi,0,Incidence,16099,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,0
Mississippi,0,Incidence,16773,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,0
Mississippi,0,Incidence,17245,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,0
Mississippi,0,Incidence,17779,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,0
Mississippi,10.7,Incidence,17905,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,11.2
Mississippi,0,Incidence,18189,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,0
Mississippi,0,Incidence,18571,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,0
Mississippi,0,Incidence,18878,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,0
Mississippi,0,Incidence,19051,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2020,0
Missouri,8.6,Incidence,62480,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,6.4
Missouri,4.8,Incidence,64103,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,4.7
Missouri,4.7,Incidence,65848,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,4.6
Missouri,7.2,Incidence,67943,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,7.4
Missouri,2.8,Incidence,70516,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,2.8
Missouri,8.2,Incidence,72128,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,4.2
Missouri,6.5,Incidence,74738,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,4
Missouri,1.3,Incidence,76547,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,1.3
Missouri,3.6,Incidence,78838,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,2.5
Missouri,2.6,Incidence,80726,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2020,2.5
Montana,0,Incidence,4783,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,0
Montana,18.5,Incidence,4897,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,20.4
Montana,0,Incidence,5285,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,0
Montana,0,Incidence,5497,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,0
Montana,0,Incidence,5643,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,0
Montana,0,Incidence,6019,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,0
Montana,35.7,Incidence,6246,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,32
Montana,0,Incidence,6433,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,0
Montana,0,Incidence,6851,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,0
Montana,0,Incidence,7152,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2020,0
Nebraska,5,Incidence,19435,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,5.1
Nebraska,10.9,Incidence,20520,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,9.7
Nebraska,13.2,Incidence,21310,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,9.4
Nebraska,0,Incidence,22943,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,0
Nebraska,0,Incidence,24275,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,0
Nebraska,10.2,Incidence,25994,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,7.7
Nebraska,0,Incidence,27022,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,0
Nebraska,0,Incidence,28023,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,0
Nebraska,22.5,Incidence,28468,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,14.1
Nebraska,0,Incidence,28926,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2020,0
Nevada,3.5,Incidence,125137,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,4
Nevada,4.5,Incidence,128726,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,5.4
Nevada,1.8,Incidence,133508,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,2.2
Nevada,4.4,Incidence,138318,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2014,5.8
Nevada,4,Incidence,143504,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2015,4.9
Nevada,3.8,Incidence,148742,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2016,5.4
Nevada,4.1,Incidence,154064,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2017,5.2
Nevada,3.6,Incidence,158689,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2018,5
Nevada,3.6,Incidence,164777,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2019,4.2
New Hampshire,6.8,Incidence,17260,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2011,5.8
New Hampshire,0,Incidence,18284,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2012,0
New Hampshire,0,Incidence,19108,Non-Hispanic Asian/Pacific Islander,Female,Oral Cavity and Pharynx,2013,0
