AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
30-34,21,Incidence,2135897,Hispanic of any race,Hispanic of any race,1,Female,Oral Cavity and Pharynx,2017
35-39,40,Incidence,2112661,Hispanic of any race,Hispanic of any race,1.9,Female,Oral Cavity and Pharynx,2017
40-44,38,Incidence,1972195,Hispanic of any race,Hispanic of any race,1.9,Female,Oral Cavity and Pharynx,2017
45-49,57,Incidence,1802374,Hispanic of any race,Hispanic of any race,3.2,Female,Oral Cavity and Pharynx,2017
5-9,~,Incidence,2561602,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
50-54,94,Incidence,1572985,Hispanic of any race,Hispanic of any race,6,Female,Oral Cavity and Pharynx,2017
55-59,104,Incidence,1328754,Hispanic of any race,Hispanic of any race,7.8,Female,Oral Cavity and Pharynx,2017
60-64,110,Incidence,1057711,Hispanic of any race,Hispanic of any race,10.4,Female,Oral Cavity and Pharynx,2017
65-69,119,Incidence,794602,Hispanic of any race,Hispanic of any race,15,Female,Oral Cavity and Pharynx,2017
70-74,89,Incidence,575661,Hispanic of any race,Hispanic of any race,15.5,Female,Oral Cavity and Pharynx,2017
75-79,70,Incidence,403044,Hispanic of any race,Hispanic of any race,17.4,Female,Oral Cavity and Pharynx,2017
80-84,77,Incidence,284031,Hispanic of any race,Hispanic of any race,27.1,Female,Oral Cavity and Pharynx,2017
85+,63,Incidence,291150,Hispanic of any race,Hispanic of any race,21.6,Female,Oral Cavity and Pharynx,2017
<1,~,Incidence,488567,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
1-4,~,Incidence,1995244,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
10-14,~,Incidence,2587209,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
15-19,~,Incidence,2433467,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
20-24,~,Incidence,2342184,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
25-29,22,Incidence,2330911,Hispanic of any race,Hispanic of any race,0.9,Female,Oral Cavity and Pharynx,2018
30-34,27,Incidence,2150706,Hispanic of any race,Hispanic of any race,1.3,Female,Oral Cavity and Pharynx,2018
35-39,40,Incidence,2146773,Hispanic of any race,Hispanic of any race,1.9,Female,Oral Cavity and Pharynx,2018
40-44,44,Incidence,2000187,Hispanic of any race,Hispanic of any race,2.2,Female,Oral Cavity and Pharynx,2018
45-49,72,Incidence,1848577,Hispanic of any race,Hispanic of any race,3.9,Female,Oral Cavity and Pharynx,2018
5-9,~,Incidence,2546057,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
50-54,100,Incidence,1607616,Hispanic of any race,Hispanic of any race,6.2,Female,Oral Cavity and Pharynx,2018
55-59,138,Incidence,1382392,Hispanic of any race,Hispanic of any race,10,Female,Oral Cavity and Pharynx,2018
60-64,129,Incidence,1106540,Hispanic of any race,Hispanic of any race,11.7,Female,Oral Cavity and Pharynx,2018
65-69,103,Incidence,832099,Hispanic of any race,Hispanic of any race,12.4,Female,Oral Cavity and Pharynx,2018
70-74,98,Incidence,611300,Hispanic of any race,Hispanic of any race,16,Female,Oral Cavity and Pharynx,2018
75-79,83,Incidence,425242,Hispanic of any race,Hispanic of any race,19.5,Female,Oral Cavity and Pharynx,2018
80-84,78,Incidence,298067,Hispanic of any race,Hispanic of any race,26.2,Female,Oral Cavity and Pharynx,2018
85+,70,Incidence,306741,Hispanic of any race,Hispanic of any race,22.8,Female,Oral Cavity and Pharynx,2018
<1,~,Incidence,483622,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
1-4,~,Incidence,1991876,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
10-14,~,Incidence,2611522,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
15-19,~,Incidence,2471628,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
20-24,~,Incidence,2360414,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
25-29,~,Incidence,2378138,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
30-34,26,Incidence,2174331,Hispanic of any race,Hispanic of any race,1.2,Female,Oral Cavity and Pharynx,2019
35-39,26,Incidence,2165426,Hispanic of any race,Hispanic of any race,1.2,Female,Oral Cavity and Pharynx,2019
40-44,48,Incidence,2021836,Hispanic of any race,Hispanic of any race,2.4,Female,Oral Cavity and Pharynx,2019
45-49,56,Incidence,1887047,Hispanic of any race,Hispanic of any race,3,Female,Oral Cavity and Pharynx,2019
5-9,~,Incidence,2540710,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
50-54,100,Incidence,1635599,Hispanic of any race,Hispanic of any race,6.1,Female,Oral Cavity and Pharynx,2019
55-59,111,Incidence,1435404,Hispanic of any race,Hispanic of any race,7.7,Female,Oral Cavity and Pharynx,2019
60-64,134,Incidence,1152602,Hispanic of any race,Hispanic of any race,11.6,Female,Oral Cavity and Pharynx,2019
65-69,147,Incidence,875129,Hispanic of any race,Hispanic of any race,16.8,Female,Oral Cavity and Pharynx,2019
70-74,115,Incidence,647491,Hispanic of any race,Hispanic of any race,17.8,Female,Oral Cavity and Pharynx,2019
75-79,82,Incidence,446721,Hispanic of any race,Hispanic of any race,18.4,Female,Oral Cavity and Pharynx,2019
80-84,73,Incidence,311898,Hispanic of any race,Hispanic of any race,23.4,Female,Oral Cavity and Pharynx,2019
85+,74,Incidence,322282,Hispanic of any race,Hispanic of any race,23,Female,Oral Cavity and Pharynx,2019
<1,~,Incidence,481522,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
1-4,~,Incidence,1926812,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
10-14,~,Incidence,2561755,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
15-19,~,Incidence,2439012,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
20-24,~,Incidence,2334375,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
25-29,23,Incidence,2338367,Hispanic of any race,Hispanic of any race,1,Female,Oral Cavity and Pharynx,2020
30-34,29,Incidence,2163578,Hispanic of any race,Hispanic of any race,1.3,Female,Oral Cavity and Pharynx,2020
35-39,29,Incidence,2115409,Hispanic of any race,Hispanic of any race,1.4,Female,Oral Cavity and Pharynx,2020
40-44,42,Incidence,2011626,Hispanic of any race,Hispanic of any race,2.1,Female,Oral Cavity and Pharynx,2020
45-49,64,Incidence,1873134,Hispanic of any race,Hispanic of any race,3.4,Female,Oral Cavity and Pharynx,2020
5-9,~,Incidence,2474075,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
50-54,98,Incidence,1643443,Hispanic of any race,Hispanic of any race,6,Female,Oral Cavity and Pharynx,2020
55-59,104,Incidence,1447678,Hispanic of any race,Hispanic of any race,7.2,Female,Oral Cavity and Pharynx,2020
60-64,142,Incidence,1181327,Hispanic of any race,Hispanic of any race,12,Female,Oral Cavity and Pharynx,2020
65-69,144,Incidence,904481,Hispanic of any race,Hispanic of any race,15.9,Female,Oral Cavity and Pharynx,2020
70-74,102,Incidence,676434,Hispanic of any race,Hispanic of any race,15.1,Female,Oral Cavity and Pharynx,2020
75-79,84,Incidence,461971,Hispanic of any race,Hispanic of any race,18.2,Female,Oral Cavity and Pharynx,2020
80-84,73,Incidence,319718,Hispanic of any race,Hispanic of any race,22.8,Female,Oral Cavity and Pharynx,2020
85+,64,Incidence,334903,Hispanic of any race,Hispanic of any race,19.1,Female,Oral Cavity and Pharynx,2020
<1,~,Incidence,463556,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
1-4,~,Incidence,75088,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
10-14,~,Incidence,99671,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
15-19,~,Incidence,101367,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
20-24,~,Incidence,105050,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
25-29,~,Incidence,107898,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
30-34,~,Incidence,93391,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
35-39,~,Incidence,86234,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
40-44,~,Incidence,78915,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
45-49,~,Incidence,82156,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
5-9,~,Incidence,98293,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
50-54,~,Incidence,87510,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
55-59,~,Incidence,90832,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
60-64,~,Incidence,78654,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
65-69,~,Incidence,60588,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
70-74,~,Incidence,42043,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
75-79,~,Incidence,27297,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
80-84,~,Incidence,17248,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
85+,~,Incidence,16921,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
<1,~,Incidence,17763,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
1-4,~,Incidence,73762,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
10-14,~,Incidence,100346,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
15-19,~,Incidence,100037,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
20-24,~,Incidence,103307,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
25-29,~,Incidence,110194,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
30-34,~,Incidence,94525,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
35-39,~,Incidence,88127,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
40-44,~,Incidence,79195,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
45-49,~,Incidence,81622,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
5-9,~,Incidence,97033,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
50-54,~,Incidence,84863,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
55-59,~,Incidence,90844,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
60-64,18,Incidence,81276,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,22.1,Female,Oral Cavity and Pharynx,2018
65-69,~,Incidence,62906,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
70-74,~,Incidence,44922,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
75-79,~,Incidence,29010,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
80-84,~,Incidence,18285,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
85+,~,Incidence,17992,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
<1,~,Incidence,16767,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
1-4,~,Incidence,71459,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
10-14,~,Incidence,99897,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
15-19,~,Incidence,99269,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
20-24,~,Incidence,101992,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
25-29,~,Incidence,110905,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
30-34,~,Incidence,96880,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
35-39,~,Incidence,89698,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
40-44,~,Incidence,79899,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
45-49,~,Incidence,80619,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
5-9,~,Incidence,96264,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
50-54,~,Incidence,82465,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
55-59,~,Incidence,90616,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
60-64,17,Incidence,83204,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,20.4,Female,Oral Cavity and Pharynx,2019
65-69,~,Incidence,65632,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
70-74,~,Incidence,48008,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
75-79,~,Incidence,30777,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
80-84,~,Incidence,19412,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
85+,~,Incidence,19028,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
<1,~,Incidence,16803,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
1-4,~,Incidence,68578,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
10-14,~,Incidence,98043,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
15-19,~,Incidence,97082,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
20-24,~,Incidence,100073,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
25-29,~,Incidence,107370,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
30-34,~,Incidence,98121,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
35-39,~,Incidence,88603,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
40-44,~,Incidence,80226,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
45-49,~,Incidence,77598,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
5-9,~,Incidence,93651,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
50-54,~,Incidence,79320,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
55-59,~,Incidence,87577,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
60-64,~,Incidence,83333,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
65-69,~,Incidence,66796,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
70-74,~,Incidence,50123,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
75-79,~,Incidence,31793,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
80-84,~,Incidence,20080,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
85+,~,Incidence,19647,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
<1,~,Incidence,16351,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
60-64,321,Mortality,10398926,All Other Races,All Races,3.1,Female,Oral Cavity and Pharynx,2017
65-69,371,Mortality,8884407,All Other Races,All Races,4.2,Female,Oral Cavity and Pharynx,2017
70-74,345,Mortality,6881542,All Other Races,All Races,5,Female,Oral Cavity and Pharynx,2017
75-79,334,Mortality,4833186,All Other Races,All Races,6.9,Female,Oral Cavity and Pharynx,2017
80-84,333,Mortality,3455501,All Other Races,All Races,9.6,Female,Oral Cavity and Pharynx,2017
85+,602,Mortality,4181647,All Other Races,All Races,14.4,Female,Oral Cavity and Pharynx,2017
<1,~,Mortality,1896804,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2017
1-4,~,Mortality,7794796,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
10-14,~,Mortality,10223894,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
15-19,~,Mortality,10314076,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
20-24,~,Mortality,10652877,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
25-29,~,Mortality,11535821,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
30-34,~,Mortality,10945565,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
35-39,24,Mortality,10767228,All Other Races,All Races,0.2,Female,Oral Cavity and Pharynx,2018
40-44,31,Mortality,9901383,All Other Races,All Races,0.3,Female,Oral Cavity and Pharynx,2018
45-49,66,Mortality,10466104,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2018
5-9,~,Mortality,9888217,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
50-54,154,Mortality,10593345,All Other Races,All Races,1.5,Female,Oral Cavity and Pharynx,2018
55-59,281,Mortality,11257833,All Other Races,All Races,2.5,Female,Oral Cavity and Pharynx,2018
60-64,364,Mortality,10585539,All Other Races,All Races,3.4,Female,Oral Cavity and Pharynx,2018
65-69,348,Mortality,9041390,All Other Races,All Races,3.8,Female,Oral Cavity and Pharynx,2018
70-74,348,Mortality,7180687,All Other Races,All Races,4.8,Female,Oral Cavity and Pharynx,2018
75-79,308,Mortality,5115395,All Other Races,All Races,6,Female,Oral Cavity and Pharynx,2018
80-84,350,Mortality,3536898,All Other Races,All Races,9.9,Female,Oral Cavity and Pharynx,2018
85+,635,Mortality,4205508,All Other Races,All Races,15.1,Female,Oral Cavity and Pharynx,2018
<1,~,Mortality,1871130,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
1-4,~,Mortality,7728847,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
10-14,~,Mortality,10190891,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
15-19,~,Mortality,10313575,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
20-24,~,Mortality,10577124,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
25-29,~,Mortality,11518714,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
30-34,~,Mortality,11093732,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
35-39,24,Mortality,10861340,All Other Races,All Races,0.2,Female,Oral Cavity and Pharynx,2019
40-44,30,Mortality,10014341,All Other Races,All Races,0.3,Female,Oral Cavity and Pharynx,2019
45-49,70,Mortality,10307804,All Other Races,All Races,0.7,Female,Oral Cavity and Pharynx,2019
